MCTS; StickTogether; RushOnePiece; Random
TryToKnock; RushOnePiece; Random; LookOneAhead
TryToKnock; LookOneAhead; Random; MCTS
MCTS; RushOnePiece; LookOneAhead; StickTogether
MCTS; StickTogether; TryToKnock; LookOneAhead
TryToKnock; Random; LookOneAhead; StickTogether
MCTS; LookOneAhead; TryToKnock; StickTogether
MCTS; Random; RushOnePiece; StickTogether
MCTS; RushOnePiece; StickTogether; LookOneAhead
RushOnePiece; StickTogether; MCTS; TryToKnock
TryToKnock; StickTogether; RushOnePiece; LookOneAhead
MCTS; TryToKnock; RushOnePiece; StickTogether
LookOneAhead; TryToKnock; StickTogether; MCTS
RushOnePiece; Random; TryToKnock; StickTogether
TryToKnock; Random; LookOneAhead; RushOnePiece
MCTS; TryToKnock; RushOnePiece; LookOneAhead
TryToKnock; MCTS; LookOneAhead; StickTogether
MCTS; TryToKnock; RushOnePiece; LookOneAhead
RushOnePiece; Random; TryToKnock; MCTS
LookOneAhead; MCTS; Random; RushOnePiece
LookOneAhead; Random; MCTS; RushOnePiece
MCTS; RushOnePiece; LookOneAhead; StickTogether
MCTS; RushOnePiece; TryToKnock; LookOneAhead
LookOneAhead; StickTogether; TryToKnock; RushOnePiece
MCTS; TryToKnock; RushOnePiece; LookOneAhead
StickTogether; TryToKnock; MCTS; Random
TryToKnock; RushOnePiece; Random; StickTogether
StickTogether; Random; TryToKnock; MCTS
MCTS; RushOnePiece; TryToKnock; Random
Random; MCTS; RushOnePiece; LookOneAhead
MCTS; Random; StickTogether; TryToKnock
MCTS; RushOnePiece; LookOneAhead; Random
MCTS; RushOnePiece; TryToKnock; Random
RushOnePiece; StickTogether; LookOneAhead; Random
MCTS; TryToKnock; StickTogether; LookOneAhead
StickTogether; MCTS; RushOnePiece; LookOneAhead
TryToKnock; RushOnePiece; StickTogether; MCTS
MCTS; RushOnePiece; Random; StickTogether
Random; RushOnePiece; LookOneAhead; StickTogether
StickTogether; LookOneAhead; TryToKnock; Random
MCTS; Random; LookOneAhead; TryToKnock
TryToKnock; RushOnePiece; StickTogether; LookOneAhead
MCTS; StickTogether; LookOneAhead; RushOnePiece
StickTogether; MCTS; Random; TryToKnock
MCTS; Random; StickTogether; RushOnePiece
StickTogether; RushOnePiece; TryToKnock; LookOneAhead
TryToKnock; RushOnePiece; LookOneAhead; Random
LookOneAhead; TryToKnock; Random; RushOnePiece
MCTS; LookOneAhead; Random; TryToKnock
LookOneAhead; MCTS; Random; StickTogether
StickTogether; TryToKnock; Random; MCTS
StickTogether; MCTS; LookOneAhead; RushOnePiece
MCTS; RushOnePiece; Random; StickTogether
Random; RushOnePiece; TryToKnock; StickTogether
TryToKnock; MCTS; RushOnePiece; StickTogether
MCTS; Random; TryToKnock; LookOneAhead
StickTogether; LookOneAhead; MCTS; TryToKnock
MCTS; LookOneAhead; TryToKnock; Random
MCTS; RushOnePiece; LookOneAhead; StickTogether
MCTS; TryToKnock; RushOnePiece; StickTogether
StickTogether; RushOnePiece; LookOneAhead; Random
Random; MCTS; TryToKnock; LookOneAhead
Random; LookOneAhead; TryToKnock; StickTogether
Random; TryToKnock; RushOnePiece; StickTogether
MCTS; Random; TryToKnock; StickTogether
Random; TryToKnock; StickTogether; LookOneAhead
TryToKnock; LookOneAhead; Random; StickTogether
MCTS; TryToKnock; LookOneAhead; RushOnePiece
TryToKnock; RushOnePiece; MCTS; LookOneAhead
RushOnePiece; Random; LookOneAhead; MCTS
RushOnePiece; Random; MCTS; TryToKnock
LookOneAhead; MCTS; TryToKnock; Random
TryToKnock; MCTS; LookOneAhead; StickTogether
StickTogether; MCTS; TryToKnock; RushOnePiece
MCTS; StickTogether; TryToKnock; Random
MCTS; RushOnePiece; Random; LookOneAhead
LookOneAhead; Random; TryToKnock; RushOnePiece
TryToKnock; StickTogether; RushOnePiece; LookOneAhead
MCTS; Random; LookOneAhead; StickTogether
Random; StickTogether; MCTS; LookOneAhead
StickTogether; Random; RushOnePiece; LookOneAhead
TryToKnock; MCTS; Random; StickTogether
MCTS; TryToKnock; Random; LookOneAhead
TryToKnock; Random; LookOneAhead; MCTS
StickTogether; Random; LookOneAhead; MCTS
RushOnePiece; TryToKnock; MCTS; LookOneAhead
MCTS; TryToKnock; LookOneAhead; StickTogether
RushOnePiece; TryToKnock; Random; LookOneAhead
TryToKnock; MCTS; RushOnePiece; Random
LookOneAhead; Random; RushOnePiece; TryToKnock
MCTS; StickTogether; LookOneAhead; Random
Random; StickTogether; LookOneAhead; MCTS
StickTogether; MCTS; Random; LookOneAhead
LookOneAhead; MCTS; Random; RushOnePiece
MCTS; Random; RushOnePiece; StickTogether
LookOneAhead; MCTS; TryToKnock; StickTogether
MCTS; RushOnePiece; StickTogether; LookOneAhead
Random; RushOnePiece; LookOneAhead; TryToKnock
TryToKnock; StickTogether; RushOnePiece; LookOneAhead
MCTS; StickTogether; TryToKnock; LookOneAhead
StickTogether; TryToKnock; Random; LookOneAhead
RushOnePiece; TryToKnock; StickTogether; Random
StickTogether; TryToKnock; LookOneAhead; RushOnePiece
